WIKIDATA,NAME_EN,PROVINCE,MS_FB_PARE,MS_FB
Q59210900,reserved seats for women in the provincial assembly of Balochistan,Balochistan,country:pk/province:ba,country:pk/province:ba/provincial-assembly-reserved-seat:women
Q59210903,reserved seats for women in the provincial assembly of Sindh,Sindh,country:pk/province:sd,country:pk/province:sd/provincial-assembly-reserved-seat:women
Q59210902,reserved seats for women in the provincial assembly of Punjab,Punjab,country:pk/province:pb,country:pk/province:pb/provincial-assembly-reserved-seat:women
Q59210886,reserved seats for technocrats in the legislative assembly of Gilgit Baltistan,Gilgit-Baltistan,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-assembly-reserved-seat:technocrats
Q59210889,reserved seats for women in the legislative assembly of Gilgit Baltistan,Gilgit-Baltistan,country:pk/administrative-territory:gb,country:pk/administrative-territory:gb/provincial-assembly-reserved-seat:women
Q59210883,reserved seats for Jammu and Kashmir nationals residing abroad in the Azad Jammu & Kashmir legislative assembly,Azad Jammu and Kashmir,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-assembly-reserved-seat:j-k-nationals-abroad
Q59210885,reserved seats for Ulema community in the Azad Jammu & Kashmir legislative assembly,Azad Jammu and Kashmir,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-assembly-reserved-seat:ulema-community
Q59210884,reserved seats for technocrats in the Azad Jammu & Kashmir legislative assembly,Azad Jammu and Kashmir,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-assembly-reserved-seat:technocrats
Q59210887,reserved seats for women in the Azad Jammu & Kashmir legislative assembly,Azad Jammu and Kashmir,country:pk/administrative-territory:jk,country:pk/administrative-territory:jk/provincial-assembly-reserved-seat:women
Q59210905,reserved seats for minorities in the provincial assembly of Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,country:pk/province:kp,country:pk/province:kp/provincial-assembly-reserved-seat:minorities
Q59210906,reserved seats for women in the provincial assembly of Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,country:pk/province:kp,country:pk/province:kp/provincial-assembly-reserved-seat:women
Q59210880,reserved seats for Non-Muslims in the provincial assembly of Punjab,Punjab,country:pk/province:pb,country:pk/province:pb/provincial-assembly-reserved-seat:non-muslim
Q59210879,reserved seats for Non-Muslims in the provincial assembly of Balochistan,Balochistan,country:pk/province:ba,country:pk/province:ba/provincial-assembly-reserved-seat:non-muslim
Q59210881,reserved seats for Non-Muslims in the provincial assembly of Sindh,Sindh,country:pk/province:sd,country:pk/province:sd/provincial-assembly-reserved-seat:non-muslim
